"trip_id","taxi_id","trip_start_timestamp","trip_end_timestamp","trip_seconds","trip_miles","pickup_census_tract","dropoff_census_tract","pickup_community_area","dropoff_community_area","fare","tips","tolls","extras","trip_total","payment_type","company","pickup_centroid_latitude","pickup_centroid_longitude","pickup_centroid_location","dropoff_centroid_latitude","dropoff_centroid_longitude","dropoff_centroid_location"
"5b4ba82ebd1623739e5abd33bffc02f104804ee0","268102b5c5c93024c9b7ea7629e1d5d4b04cea3388961a00901edd8e30984b050031d1f044929ef2feea52b379a45d3ee21f98b7995af88e6ccc6bbbfb44592f","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","1140","5.9",,,"56","70","17.75","10","0","5","32.75","Credit Card","Taxi Affiliation Services","41.79259236","-87.769615453","POINT (-87.7696154528 41.7925923603)","41.745757713","-87.708365704","POINT (-87.7083657043 41.7457577128)"
"04e6f892a095a11a700293caae9085d2081105d6","e2c349c7cbb608d552aa0b5814031943f13641ef9e50d86361d598aa3277fc35fabc76bd437f793774e6deaa6f2a0f29b8a87b0cf22b5a27b6c10f6f5ed614ae","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","540","2.1",,,"8","28","8.75","0","0","0","8.75","Cash","Taxicab Insurance Agency, LLC","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.874005383","-87.66351755","POINT (-87.6635175498 41.874005383)"
"f2df1fa2cac0bec9305f828a6ef97bc7186220eb","39c5b1afbd9856f33218efea0a669e7c7f8c186197b83e22ad2bce7b2339d83ba2bbfdb1b5ae01ddb17c64d6450f4507baeb350dbddf82e5bc4871519d9b33d8","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","1516","8.17",,,"6",,"23.75","5.15","0","1.5","30.9","Credit Card","Flash Cab","41.944226601","-87.655998182","POINT (-87.6559981815 41.9442266014)",,,
"7f9cdc92dfa3d3f04d17768319d128c188cd3946","fe36f20fd7d241b5ac4e503b62d065f98b97bd8b8dcca550da6a231b0f47b498c128342f8741948563cbe80da8dc782c33c1e2ed32b45ddf5bc6c88211e379b8","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","4","0",,,"8","8","30","6.1","0","0","36.6","Credit Card","City Service","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)"
"c6a64cc003233d5e31982aba8b31129ba3a3a26f","3497d2b935bf09123c257fd1ff03b4ca266e067fac8e97007b30bd3e5138ca4988760b37ee60b57ccf32fd220729611e04a99d769bcd0d06c5d64911df2f1da1","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","900","0.7",,,"37","46","31.25","0","0","0","31.25","Unknown","Taxi Affiliation Services","41.80908443","-87.632424524","POINT (-87.6324245245 41.8090844303)","41.741242728","-87.551428197","POINT (-87.551428197 41.7412427285)"
"1c92dcf4b9166c4809497bfa645d3bce232403ad","950af3418bda33a809615e29c0592a6ab8ed5f479173437b80b129e16694d099c13ac649b93c38a08e703f3bc8c11a16bf7c37ccca96824dd06c56709d6afeac","2022-07-01T00:00:00.000","2022-07-01T00:45:00.000","2836","12.63",,,"32","68","38.75","0","0","0","38.75","Prcard","Flash Cab","41.878865584","-87.625192142","POINT (-87.6251921424 41.8788655841)","41.777196255","-87.642497527","POINT (-87.6424975271 41.7771962546)"
"555d29cdb692e0cc9c784fbe52740178cae1a184","d092ee0cb44dc6fa5f6757a7ef07181c4ee3d25eed0bc480e60f3be7af6a6fcdf86fc5d5ac6d0874ba2448ed31c4e4a37e97dd36390883dce48a3f525cd3c3b0","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","600","3.9",,,"8","6","12.5","2.5","0","0","15","Credit Card","Top Cab Affiliation","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.944226601","-87.655998182","POINT (-87.6559981815 41.9442266014)"
"d653486ef538ab6b15418f7f8b09a9bac33c3227","91a036e3de3c1f459f2664801ea9388870751ae14e196e5be1caa84093318244f75aad0dbecdb8f5f6d2fb9ceec9c03c57acb5309769a88c68d06a49b157dae8","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","420","1.29",,,"28","8","11","2.58","0","0","13.58","Mobile","City Service","41.874005383","-87.66351755","POINT (-87.6635175498 41.874005383)","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)"
"fb1f7e0d20e23d5dd51cf489de946ed57db8e441","111d9e472136f46b99422f1e976e81de485f57c2f7f3a8b134e1cb3d1c86d5781d5470a2e0b26695d49c86ac049f773e78051706d3c387a4b5a52310c77aab71","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","393","1.32",,,"8","32","11","1.93","0","0","12.93","Mobile","Star North Taxi Management Llc","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.878865584","-87.625192142","POINT (-87.6251921424 41.8788655841)"
"67e3024247975d04f4fb0391d3a4e01b1f63650d","68493b3174493e98d99b8493bc0902735bc099df7761d06718f1d63353a8ffbabad8499e26d59e3f7612050b815787d4699742b5b7f879a0cb92b797456e3642","2022-07-01T00:00:00.000","2022-07-01T00:30:00.000","2100","18.1",,,,,"46.25","10.15","0","4","60.4","Credit Card","Taxicab Insurance Agency, LLC",,,,,,
"4a18b7deac7a3a652decc1f4df285d0bf2c7194c","ab1e802296ed4e8fa17da9453acdc27ae9040f0352552d21a7cbaf9878a22703c1235c4b2c18999b8a453f1967667869ceb2b73d84d854ed11902c86cdf588fc","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","32","0.04",,,"76","76","3.25","0","0","5","8.25","Cash","Star North Taxi Management Llc","41.980264315","-87.913624596","POINT (-87.913624596 41.9802643146)","41.980264315","-87.913624596","POINT (-87.913624596 41.9802643146)"
"b4e0023ccf27da2e31cae1d7babae5ac9b9e6187","d84748e8935bfeb5f148f1b6e94f7945f4db3ff03663095e48d060b5cd05c27c51bbcb2ddec6b395ee963ad186e2f5b91ddf3b94f1a12bdabb4688ae0d87af84","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","441","3.32",,,"8","32","11.24","2.68","0","0","13.92","Mobile","Star North Taxi Management Llc","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.878865584","-87.625192142","POINT (-87.6251921424 41.8788655841)"
"171ed8e465e7ec702eea33ba9c6eb0ec785514e4","8de0e6d62efb41e049bcc13474cd662275376b7fbdc43540f46e86db206457523435fc39ab161757b5583ee258434c8863dbcd19b3bfa14aca6a0485da12d40e","2022-07-01T00:00:00.000","2022-07-01T00:30:00.000","1440","0.6",,,"76",,"29.5","0","0","5","34.5","Cash","Taxi Affiliation Services","41.980264315","-87.913624596","POINT (-87.913624596 41.9802643146)",,,
"057c00b7939408fc9dc886c3d27db11ac2393354","abb21322570c56a5cd8b988b73c4d99777563689155b7b281883d4dbe3b45d5ff76b6f944bd3a8fe00b2481e8130a5b17b7f40b695913bbe1d7aadf683625d7d","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","983","2.48",,,"28","8","11.5","1.95","0","1","14.95","Credit Card","Blue Ribbon Taxi Association","41.874005383","-87.66351755","POINT (-87.6635175498 41.874005383)","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)"
"5e31286e971c9134b31a2333a19ff446db451eb5","866cc00237dc2675dba272ee5a1b4095cce340183a7056b0462c1b599fd2627a6e2d2b1bca81be9f42a80e10375d2c9a116d89f19593a5f12cdd8de62d463ce7","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","322","1.4",,,"6","7","6.75","3","0","1","11.25","Credit Card","Blue Ribbon Taxi Association","41.944226601","-87.655998182","POINT (-87.6559981815 41.9442266014)","41.922686284","-87.649488729","POINT (-87.6494887289 41.9226862843)"
"ad5a2df04df7631e166f84215617d96f7dc8db46","a9263292f54a406cd0fb2bac808b9aaca91f770ad5e0fdb9f4ef446a77fe5b81144b2f88e1190ccf7045dc675362bd31b514fa0c5a5f5f6107bfd78693682805","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","1020","6.5",,,"28","41","19","0","0","0","19","Cash","Taxi Affiliation Services","41.874005383","-87.66351755","POINT (-87.6635175498 41.874005383)","41.794090253","-87.592310855","POINT (-87.592310855 41.794090253)"
"52d09e86a4625887cf2d5fc2b5a0a8e53946eec3","5f9b8ebe05b8a28245cdc7b2c203aa8997bd86c7d87b05ced10faba715b760bbc484f3cb5f219abad87a2077054c1aeb1fcaacf348d9c9a60a82b0cacf67d00b","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","620","2.73",,,"76",,"10.5","0","0","4","14.5","Cash","Flash Cab","41.980264315","-87.913624596","POINT (-87.913624596 41.9802643146)",,,
"3c5648d68c90d007046104af16d1a4db08ab44d7","78d1ae230754ef2eca7aa3e828789bc4714b8a261a35d5a68ec99361a2ac78cadf9daceaf0feaf8965e9932ad127499fd270df74e1308b412a4da1ea8c0fbbfa","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","1594","4.59","17031980000","17031980000","76","76","14","0","0","5","19","Cash","City Service","41.97907082","-87.903039661","POINT (-87.9030396611 41.9790708201)","41.97907082","-87.903039661","POINT (-87.9030396611 41.9790708201)"
"50c5bb3a7e3778092b1346a7ac10a3be06703d0a","7f3eadd008844fca4c6c04421f054c09caa0585ca8797bc34dacc93a6f41cbf20a854ab87b19ce1ee607107c6e16ca994e213e41dd94c226bc4d12d9bef7d2ea","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","645","3.99",,,"8","6","15.03","3.58","0","0","18.61","Mobile","Taxicab Insurance Agency Llc","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.944226601","-87.655998182","POINT (-87.6559981815 41.9442266014)"
"e74de4e1c55750ea818b741e4536c0b296de586a","fe36f20fd7d241b5ac4e503b62d065f98b97bd8b8dcca550da6a231b0f47b498c128342f8741948563cbe80da8dc782c33c1e2ed32b45ddf5bc6c88211e379b8","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","241","0.75","17031081500","17031842300","8","24","5.25","2","0","1","8.75","Credit Card","City Service","41.892507781","-87.626214906","POINT (-87.6262149064 41.8925077809)","41.89830587","-87.653613982","POINT (-87.6536139825 41.8983058696)"
"3fc10874e7f7cf17691b13417f90d25480e733c2","e8f673c7d74913eef9b2c58975502e30884a6d7c93a80264c9ef1ee7a3a44652b66f8f74348e5f7b62dc458b19ef474b8c0801463178f03b03bd08f768c42c4e","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","960","8.5",,,"43","34","22.75","0","0","0","22.75","Unknown","Taxi Affiliation Services","41.761577908","-87.572781987","POINT (-87.5727819867 41.7615779081)","41.842076117","-87.633973422","POINT (-87.6339734222 41.8420761168)"
"1d88d2c1509d6b102f38c847d37f25d9ec32248a","5cffb97a6fd517bd5bc14f2d55ded4698066eb285e8c0234d27f2539212b3732e8c43290d848a8a381934266de9f681f38cb9c40abd39ce41a45c34321eb9eb8","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","1028","9.61",,,,"14","25.75","4.69","0","5","35.94","Credit Card","5 Star Taxi",,,,"41.968069","-87.721559063","POINT (-87.7215590627 41.968069)"
"22aaaabf0c33000ae718223044e0f2dfd6157aa8","ff60dabe17243a25435dcaf430a8b31615374bfc6be8416ff770306b39478cf34a5adedd497213f79bc39863f1048b62a3b7ceb4623d226104e44e82fae2438f","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","1480","14.39",,,"3","38","40.83","0","0","0","40.83","Cash","Flash Cab","41.96581197","-87.655878786","POINT (-87.6558787862 41.96581197)","41.812948939","-87.617859676","POINT (-87.6178596758 41.8129489392)"
"a7776c102a496dce7379d32544cb9c58ff199304","ab31561a5548b1d49b0352bb8d00d18c0e136d5f674c1cb6f88a4381edd74510a2a3e3f47f56f8086b9712109368c294beef849a9ccf16792be72750a255544b","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","1049","3.79",,,"33","24","14","0","0","1","15","Cash","5 Star Taxi","41.857183858","-87.620334624","POINT (-87.6203346241 41.8571838585)","41.901206994","-87.676355989","POINT (-87.6763559892 41.9012069941)"
"b879122b3db7b846a410130e8f652fffbbd3e8d5","6aa3f90cecc3f6ab317e8ae42ebedd78f9790c65439d550ce61f5de5e3fa149af12a473d741f4d9161e9ee6f2c2162f44f3f834636390e5f41d625c959e61b78","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","735","3.75",,,"6","24","15.33","3.65","0","0","18.98","Mobile","Sun Taxi","41.944226601","-87.655998182","POINT (-87.6559981815 41.9442266014)","41.901206994","-87.676355989","POINT (-87.6763559892 41.9012069941)"
"8a858a715164cc6687414f6a234302bfae9cda9d","8307cf9433f0293eee99c6944aeab484521d9cd9b1fce59472580dde77dbb981858564b8de50202efa8fbb2904755e092e70f94524bf3b6c015f852181998c7e","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","549","2.03",,,"6","3","8.5","0","0","0","8.5","Cash","City Service","41.944226601","-87.655998182","POINT (-87.6559981815 41.9442266014)","41.96581197","-87.655878786","POINT (-87.6558787862 41.96581197)"
"aa55ffa6b60377008fa5fc910a16a88b23490227","561fbb8af15689fe33fb11b96905cfb95d11ac44700c1a476e474b9b19d4dc24fec8cbfe3df913dc2ee78f919bd0b1cb416be0bc3b0a431d4335bfae2df63278","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","2","0",,,"8","8","45","9.1","0","0","54.6","Credit Card","Flash Cab","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)"
"545e21794be5b874233f7279155861c088ce5416","e88e44c3a70002c1612d2e06cadeb38dcf23a697a15adda054c06a5bab688be0e25b14e435d61f897c0c9abdcc6b13a6af7c190f14245a73b7e690a3342b22bb","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","438","1.6",,,"24","8","7.75","2","0","0","10.25","Credit Card","Blue Ribbon Taxi Association","41.901206994","-87.676355989","POINT (-87.6763559892 41.9012069941)","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)"
"bd83133d2f726b88bf00f63b6689613029f68719","0bea3de3c36237d68b009b24ee3db86c78e9e618a73a3b5776e5f4bba06775f91b3520db910d24b97d577e57c4372f5d9d2eb58d338f3a0add0e37c0f71f6701","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","840","1.9",,,"8","32","9.5","4","0","0","13.5","Credit Card","Taxi Affiliation Services","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.878865584","-87.625192142","POINT (-87.6251921424 41.8788655841)"
"45477ecc2074100c1a9092c9192677f8698a107f","3d4d650b0b10ca90ad2b4ac59a5f5b5f6d7bec7485211b2a41f1f63c5b83edd5b2efb7bf7290bddb0ddd12a91d0c89738767d70f47cfb1689686936a376031db","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","755","0",,,"8","7","14.26","3.39","0","0","17.65","Mobile","Flash Cab","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.922686284","-87.649488729","POINT (-87.6494887289 41.9226862843)"
"8b58f231114a2e52eef0283a3c471085458a3e35","4477f5eda3c0c9379d7526db1b5029184a7d75a2adcad3b338b20c83f351865360b02546bc50125c663edc0ed86b206261dc50f7f002199e4d0880802c51311d","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","1516","15.09",,,"76","24","38.5","6.45","0","4","49.45","Credit Card","Medallion Leasin","41.980264315","-87.913624596","POINT (-87.913624596 41.9802643146)","41.901206994","-87.676355989","POINT (-87.6763559892 41.9012069941)"
"e41e409c0cc13447bca6a83969477e70be3c51c8","b5a21997b8755bd03ab2f95a8a2e4e486e08e076921827bfe87c842b2bb1b617df09e5bf7aadfc11682560d2838dad34e2ed3de84ba0fe0147129b8c3dd4be19","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","871","5.64",,,"8","28","13.52","3.22","0","0","16.74","Mobile","City Service","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.874005383","-87.66351755","POINT (-87.6635175498 41.874005383)"
"bf2cbf4635cdeaa1e598af5576a319b58e85a5f7","42bfc19863617733aaa5ef96de670e3307690921a42d3df9e13ff7a35fa621088d7656cf297d3bb44306fa4ebc03bc631afc3c050b0562dea4b0b833e85818d2","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","294","0.91",,,"32","8","6","1","0","3","10.5","Credit Card","Sun Taxi","41.878865584","-87.625192142","POINT (-87.6251921424 41.8788655841)","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)"
"b256b2ef141b6f92d80b5a5161a2f36573fa1d4e","ddc0a237498a82a0803761188d0ea048623b5d91f29ad2b1ba514d1b4eec6f5bdaa2ed6e1d1df38960d9bce8935fc9cae8826d55b73261dc4f60d01af8a02617","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","690","0.62",,,"8","8","7.5","10","0","1","19","Credit Card","Flash Cab","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)"
"9cbc712dd37b8d39327ae1786f240e5a82a8cb58","f78d14baa2d1f80febaa17d73381c2eadb406cf4537522e111615ca2ccc9854f515cf1bb9dc9a9f48c4fdbf3e4e3adac120d6c6cc00dcd2aa715276b28bed0ad","2022-07-01T00:00:00.000","2022-07-01T00:30:00.000","1740","13.7",,,"76","6","36","8.3","0","5","49.3","Credit Card","Choice Taxi Association","41.980264315","-87.913624596","POINT (-87.913624596 41.9802643146)","41.944226601","-87.655998182","POINT (-87.6559981815 41.9442266014)"
"4ed7982b435f7ddb4a94b0e8937bb3dc783d53e4","ae21d024a249783394ef3fcd91c8abad23fe127549fe964ac600cfa54a91bf42db12d9982b9d4b4b12b8f871e08d44811e99a54675bb1d2806716aaffaba3989","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","600","0.1",,,"32","24","11.25","0","0","0","11.25","Cash","Taxi Affiliation Services","41.878865584","-87.625192142","POINT (-87.6251921424 41.8788655841)","41.901206994","-87.676355989","POINT (-87.6763559892 41.9012069941)"
"2140fbc6c4d711c84b8551da6efc4fc10c203480","7460d7f323c633150b08d9fb110001eb3189c31e74a91504162218e65769e070fb4ccb70ebccfbd7d66034a34e94f2826b0adaedb80a4a15f23353588c0bd5bf","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","900","0",,,"6","7","20","20.5","0","0","40.5","Credit Card","Taxi Affiliation Services","41.944226601","-87.655998182","POINT (-87.6559981815 41.9442266014)","41.922686284","-87.649488729","POINT (-87.6494887289 41.9226862843)"
"c6894d5f2747a40f6c008e8dee1712bde5e25524","94392ee820e83f72bebb76726fcf270ae473528a67189cbbbd487ad44d63371c770790c38a39f6f79a109aa3c4715e017b9d10e992f4fe9bda1d860d464cc8e7","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","841","3.34",,,"7","8","11.81","4.22","0","0","16.03","Mobile","Medallion Leasin","41.922686284","-87.649488729","POINT (-87.6494887289 41.9226862843)","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)"
"648df113d6112e9522d7ab515f4d39021f3fffff","7f9a6d676afea5d94d661cacb40cefdd6b22f62663754236d997eb86e59a7ac8238eef593c6a4f9ed765cf644a7d1e64b946c935824fb5295bc604d6f0af8bb2","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","1088","7.08",,,"8","1","21.25","0","0","0","21.25","Prcard","Globe Taxi","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","42.009622881","-87.670166857","POINT (-87.6701668569 42.0096228806)"
"005aa9c120808c1ceaed0b6eb3d848cd6d20336a","c3cd77364e0d1be3c6dbc6370b7fd5d73e0c509ed1a5a5ecbdb39520be16340f19a681864df28f1a8a9798e70b8057213b7e77745c8d833b64a34e8fb541565a","2022-07-01T00:00:00.000","2022-07-01T00:15:00.000","891","5.94",,,"28","21","20.46","4.87","0","0","25.33","Mobile","Star North Taxi Management Llc","41.874005383","-87.66351755","POINT (-87.6635175498 41.874005383)","41.938666196","-87.711210593","POINT (-87.7112105933 41.9386661962)"
"cd00f9c36157702b486ed623788939165f55b81d","fb0ce19e30e712c77c57cfdb6ef729c2d2ad73225d9ec3b541ddab78f8a281a073a93fd94232bb4c2397cade115fb3727045daeb602fcefd00df53cf6da9d563","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","276","0",,,"8","8","11","0","0","0","11","Mobile","Flash Cab","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)"
"75d821e8ae59ab71da1c0773f41adb0f43d66741","904222fe7d2f8f53ac179a524c63eebb02300ec21b573d542909496678acb55f1108655fff1b594a9cac029696d320f67e06adc2af6c8f9c4179dcf9d0729554","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","435","1.21",,,"8","24","6.75","0","0","0","6.75","Cash","Sun Taxi","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.901206994","-87.676355989","POINT (-87.6763559892 41.9012069941)"
"1c3de684b551a02f9fb65df316c6002618976ca2","ab1e802296ed4e8fa17da9453acdc27ae9040f0352552d21a7cbaf9878a22703c1235c4b2c18999b8a453f1967667869ceb2b73d84d854ed11902c86cdf588fc","2022-07-01T00:00:00.000","2022-07-01T00:30:00.000","1667","17.75",,,"76","8","44.75","0","0","4","48.75","Cash","Star North Taxi Management Llc","41.980264315","-87.913624596","POINT (-87.913624596 41.9802643146)","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)"
